test 	Be-10_(qtz) 	0.00795 	60 	8.85 	10.1 	0.00862 	65 	9.58 	10.8 	0.00759 	57.3 	8.44 	9.11
test 	Be-10_(qtz) 	0.00796 	60.1 	8.21 	9.51 	0.00862 	65 	8.89 	10.2 	0.00759 	57.3 	7.84 	8.55
test 	Be-10_(qtz) 	0.00793 	59.9 	8.92 	10.1 	0.00859 	64.9 	9.66 	10.8 	0.00757 	57.1 	8.51 	9.17
test 	Be-10_(qtz) 	0.00801 	60.4 	9.51 	10.7 	0.00867 	65.4 	10.3 	11.4 	0.00764 	57.6 	9.07 	9.7
test 	Be-10_(qtz) 	0.00796 	60.1 	9.61 	10.7 	0.00862 	65.1 	10.4 	11.5 	0.00759 	57.3 	9.17 	9.78
test 	Be-10_(qtz) 	0.00822 	62 	9.99 	11.1 	0.00888 	67 	10.8 	11.9 	0.00783 	59.1 	9.52 	10.2
test 	Be-10_(qtz) 	0.00827 	62.4 	10.1 	11.3 	0.00893 	67.4 	10.9 	12 	0.00788 	59.4 	9.63 	10.3
test 	Be-10_(qtz) 	0.00856 	64.6 	10.6 	11.8 	0.00922 	69.6 	11.4 	12.5 	0.00815 	61.5 	10.1 	10.7
test 	Be-10_(qtz) 	0.00795 	60 	8.45 	9.71 	0.00861 	64.9 	9.14 	10.4 	0.00758 	57.2 	8.06 	8.75
test 	Be-10_(qtz) 	0.00799 	60.3 	8.34 	9.63 	0.00865 	65.3 	9.02 	10.3 	0.00762 	57.5 	7.95 	8.66
test 	Be-10_(qtz) 	0.00787 	59.4 	8.46 	9.69 	0.00853 	64.4 	9.16 	10.4 	0.00751 	56.7 	8.07 	8.75
test 	Be-10_(qtz) 	0.00794 	59.9 	9.41 	10.6 	0.0086 	64.9 	10.2 	11.3 	0.00757 	57.2 	8.98 	9.61
test 	Be-10_(qtz) 	0.0078 	58.9 	10.1 	11.1 	0.00846 	63.9 	11 	12 	0.00744 	56.2 	9.65 	10.2
test 	Be-10_(qtz) 	0.00778 	58.7 	9.5 	10.6 	0.00844 	63.7 	10.3 	11.4 	0.00742 	56 	9.07 	9.67
test 	Be-10_(qtz) 	0.00796 	60.1 	9.12 	10.3 	0.00862 	65 	9.87 	11 	0.00759 	57.3 	8.7 	9.34
